"source","target","eid","label","stars","votes.useful","votes.cool","votes.funny","date","review_id"
"MlfngaQNN3JktU2pX8cGuA","mtchqm9cDlMewP8A_enSzg","642357","review","4","1","1","0","2016-01-13","nFrEZIObtadL1TgsMuj_Jg"
"-HJ1zriyK26Dt5gCHy4IEg","_KvGddVMM3d2f7NEa_eOtA","941909","review","2","0","0","0","2014-11-16","_TQp0YqTa-8siflWs01sxQ"
"irZ2jizAu-DrKFFLr_2Rug","_KvGddVMM3d2f7NEa_eOtA","941895","review","3","0","0","0","2014-06-03","2IFhFAul7q_Zw8vOVSRfeA"
"y88tKxe-6Su9vGr9uM5i6w","jf67Z1pnwElRSXllpQHiJg","433229","review","2","1","0","0","2013-06-14","MOaqvbHQn0UU1u1FKlXphg"
"y88tKxe-6Su9vGr9uM5i6w","FbSfo_4DUCPiOpRTzlssJA","717165","review","4","1","2","0","2016-07-06","5dFZYe71kwanFRJujQktlA"
"y88tKxe-6Su9vGr9uM5i6w","hW0Ne_HTHEAgGF1rAdmR-g","102503","review","1","2","1","1","2013-04-14","riDeZrXxcPpbcumMxACG5g"
"y88tKxe-6Su9vGr9uM5i6w","3Q0QQPnHcJuX1DLCL9G9Cg","27246","review","5","4","1","0","2013-05-09","6i4dsL5hTJWcnbUt2XlMQA"
"y88tKxe-6Su9vGr9uM5i6w","kEsKrIJ6M1KOb8UALrpP7g","195540","review","4","1","1","1","2013-04-07","8fq9357duvyts3FF6V348A"
"vu3zS6buvxid2Gy4CMqY2Q","_KvGddVMM3d2f7NEa_eOtA","941910","review","5","0","1","0","2014-11-22","yFPiQt9bOr3Uv91bPRHGAw"
"vu3zS6buvxid2Gy4CMqY2Q","bwu0cUZfksuu-uzTPrrl2A","273683","review","2","0","0","0","2014-11-20","H_zth6xvRCwTe3U-oKbM9A"
"cahkNcgVxhDDDPLQjpyL6w","_KvGddVMM3d2f7NEa_eOtA","941776","review","5","2","0","1","2008-02-10","-a0DgALzvzOXxd_gHfvkkw"
"cahkNcgVxhDDDPLQjpyL6w","1zKH87sjLpRr8XDKmk7j1g","943271","review","4","0","0","0","2008-03-17","xfwdejway6x9RIAboBnsEA"
"SHcX9hp5RG3-OqsbvissIQ","_KvGddVMM3d2f7NEa_eOtA","941933","review","4","0","0","0","2015-08-03","IM-iErr9L-Eg6RgiOl8lGg"
"SHcX9hp5RG3-OqsbvissIQ","8IMEf_cj8KyTQojhNOyoPg","452662","review","3","0","0","0","2014-04-29","j_iFWaVpFDR4aEmq0LowbQ"
"SHcX9hp5RG3-OqsbvissIQ","hW0Ne_HTHEAgGF1rAdmR-g","103176","review","4","0","0","0","2015-07-16","azKUWJxxhhCrxcmSifc9GQ"
"SHcX9hp5RG3-OqsbvissIQ","6LM_Klmp3hOP0JmsMCKRqQ","601397","review","3","0","0","0","2012-10-07","QroIhohJzXhXNJURJwrI-w"
"9Xu25KQnirRnNNVoSL4hZw","1vK7gWQ_b5ehAyOidOsYtg","282446","review","4","0","0","0","2016-05-26","NKTHNHvOpPkLpuB1Z2jB4g"
"9Xu25KQnirRnNNVoSL4hZw","52CzJDb4EakSjEQOUys77Q","282966","review","4","0","0","0","2016-05-26","YNTvM82kHXhkaL_qm9SFtQ"
"zMVrC-5PN-5JbnpYRDQ--Q","_KvGddVMM3d2f7NEa_eOtA","941913","review","3","0","0","1","2015-01-04","gxVkGxVZ7ZNYLypEvRq1uw"
"Z8UmpTnIS-7ASntV8nq8cA","Q4ULAiIE2qCA4RYplCTrUQ","561063","review","5","2","2","1","2010-08-28","P3zmnW_K0gslgWj5aq1cyg"
"Z8UmpTnIS-7ASntV8nq8cA","ifVVRWX3oEe2tPAcBLPrRw","945890","review","4","1","0","0","2010-08-27","d6ENz5gG732IE-AUYnH8gQ"
"Z8UmpTnIS-7ASntV8nq8cA","bwu0cUZfksuu-uzTPrrl2A","273358","review","5","2","1","0","2010-08-28","8FncoWh8sUx20R5S2-gwPA"
"Z8UmpTnIS-7ASntV8nq8cA","1vK7gWQ_b5ehAyOidOsYtg","282334","review","5","3","0","0","2010-07-11","ZJPp0FOik_qHDxlpojO6Ig"
"dciCKHYUxS8x1XGflwN3zQ","_KvGddVMM3d2f7NEa_eOtA","941950","review","3","0","0","0","2016-01-31","5ymEFVCSHVRBgGs-julqiA"
"oOPEFWnAJGgabW8khlUumQ","TRLMm_deLvlPNmGNqRxcow","537236","review","4","0","0","0","2009-11-14","hxVjw_bcqCCiinLeWAaJEQ"
"oOPEFWnAJGgabW8khlUumQ","kNirc8dWKg7C2Y8EmtyhVg","283882","review","4","0","0","0","2009-11-14","HibEfb9DXqHXs6g04A3tPA"
"oOPEFWnAJGgabW8khlUumQ","Q4ULAiIE2qCA4RYplCTrUQ","561011","review","4","1","1","0","2009-11-14","6H6v114_bILO_fkehuY4VA"
"oOPEFWnAJGgabW8khlUumQ","bYhpy9u8fKkGhYHtvYXazQ","574325","review","5","1","1","0","2009-09-06","fupDjhvIEnB3ipXqREqgoQ"
"3nor-4zbknbf_i9JikjPAw","_KvGddVMM3d2f7NEa_eOtA","941880","review","4","0","0","0","2013-11-22","gwa-KPVTgONTL1lUvCt-Hg"
"z5QUML2w84-ymSQ1luHBMg","_KvGddVMM3d2f7NEa_eOtA","941905","review","5","0","0","0","2014-09-16","-negPsKYTcLnEOklo5ICFg"
"CsjcoUzW7woyV1El-0C43g","_KvGddVMM3d2f7NEa_eOtA","941890","review","5","0","0","0","2014-03-18","jc_iphllF8cbR-I2_S9jAg"
"JytIXFXfTV7tReN0aVm1lg","_KvGddVMM3d2f7NEa_eOtA","941893","review","5","0","1","0","2014-04-21","VlXBH9GCjBFC14GPZGZ0Yw"
"6IiGgACZmypnsgDyBDLcWA","TxKmAsKQjND5vbhBdUSyIA","16229","review","4","0","0","0","2013-11-30","hmNmHvj_lbBMbD7s5gO9tg"
"dwGU4s_MjAt4RlXQufQ2Hg","_KvGddVMM3d2f7NEa_eOtA","941907","review","3","0","0","0","2014-10-20","0iJpfuBvCwI10BC-yGbvgQ"
"RM-8ZHToJPLkjdge1qPkKQ","_KvGddVMM3d2f7NEa_eOtA","941936","review","4","0","0","0","2015-08-16","JJ7dEY8TRkpSbOEUzIua-A"
"_XZRKqjDOoOtEqDtSkR0AQ","_KvGddVMM3d2f7NEa_eOtA","941945","review","4","0","0","0","2015-11-30","NhSH6MiiFlgnvN2SYfy21g"
"MBqP0lUszFFzFRDxcJ9Ffw","_KvGddVMM3d2f7NEa_eOtA","941915","review","2","0","0","0","2015-02-24","0zuWU1o_dVjcwxYJA1BmQQ"
"QNn1RLGGLKMbrwilZScQdg","_KvGddVMM3d2f7NEa_eOtA","941959","review","5","0","0","0","2016-04-12","hRYA4oV8gBKm5bk_gs3Bsg"
"07S7i7I6PbtD86erTFe4kw","YPoHtUq85TmNrBpqj_zmuA","697891","review","5","0","0","0","2016-06-13","0H7Vd7Mt4InoqYTadV07HQ"
"fjof-jkIOxuuIfVI99-_dg","_KvGddVMM3d2f7NEa_eOtA","941871","review","4","1","0","0","2013-07-07","A5BHklVeLd52fIXlyKdbwA"
"kM5gCw0TsQicNiEcuMuoEQ","_KvGddVMM3d2f7NEa_eOtA","941952","review","4","1","0","0","2016-02-22","buqfwMUfubo8ZXgZCQY7ig"
"ohPaJaqvB-53i1FqNdbZXQ","dVf7896SPwE8jEenEhI6Pg","276708","review","4","0","0","0","2015-09-07","OIkIA5q0RuyA0WT3Yqzcsw"
"QhTPPH8LrajqYc8igxHtdw","_KvGddVMM3d2f7NEa_eOtA","941817","review","4","0","0","0","2010-10-20","Ssp7Lx88lw6cQFyABQPigQ"
"QhTPPH8LrajqYc8igxHtdw","2K-XaFjaHUR8Dp6QAihITg","954364","review","5","0","0","0","2010-10-20","2UmOXo7IW1WkPlAq12hAGA"
"WLoQ_PZ1IF7O4jq62jy9Ag","sxeuOMBRllOHXJTaUlI9kQ","12776","review","1","0","0","0","2012-10-28","O5bJriWHlIkGN0iCbFzOsg"
"oN7YXq4qf4w5mH6d8Xd3JA","_KvGddVMM3d2f7NEa_eOtA","941891","review","2","1","0","0","2014-03-30","v8y06HzTrNCBWNlrW87Nqw"
"VFqR4Eim_7oa9mlr4SbFhg","2-T_D2lIL5Ub2G_U2crtrQ","932880","review","4","0","0","0","2015-08-28","PKJSzSKNIWM4M1PB9NRpYg"
"SOl-_nATymJq6r0-NL7LgQ","9oImwXLAn-DFppBrfbmkLg","278037","review","5","1","0","0","2016-04-15","4IdHvgoJ5SQzCz_IO5lofA"
"SOl-_nATymJq6r0-NL7LgQ","C4GHQTB-G0R2Geov298GLw","736319","review","5","1","0","0","2015-08-11","RBkkTuLSZbpgiv5_Brt3sQ"
"SOl-_nATymJq6r0-NL7LgQ","GM4-aWjgQjxN8sOwff7Ufw","736523","review","3","1","0","0","2015-08-04","UcL5-lDydZvH0cAssjo-qQ"
"SOl-_nATymJq6r0-NL7LgQ","IxQ1ATP_Wg_QujO9nywzcQ","4131","review","4","1","0","0","2015-07-14","lmxgu2TaH26FcWqgqFLWsw"
"9XeNkv9Sju9evdSX8EldwA","2-T_D2lIL5Ub2G_U2crtrQ","932874","review","5","2","1","0","2015-04-24","NW2bIW1KBv3LUzNMb2nW4Q"
"X6fCYH1FTxzgKU_7-EBKhw","2-T_D2lIL5Ub2G_U2crtrQ","932915","review","4","0","0","0","2016-07-16","nPmtToGdKlOGpdy2qxPugA"
"7cOZCm5mozbVA8Pybvv2wA","2-T_D2lIL5Ub2G_U2crtrQ","932835","review","5","0","0","0","2014-01-15","3kFSen0khjvLctVXCveybA"
"7cOZCm5mozbVA8Pybvv2wA","d3ni6cKglu4L3JeveOqQDQ","538603","review","4","0","0","0","2014-01-15","BirECoqjDe9l7GvkdDIDQQ"
"7cOZCm5mozbVA8Pybvv2wA","Dq6g0ubf267tWRU4BSk44A","278992","review","1","0","0","0","2014-01-15","u06zfDGiQ0YgbTgnqG11Dg"
"7cOZCm5mozbVA8Pybvv2wA","-a22bjfNCVL0gvKpd6RakA","951489","review","5","0","0","0","2014-01-15","3L4sRJbDacSNiy1XTUrisQ"
"6FI3_ItSRSv5_MPmWDjMRQ","dVf7896SPwE8jEenEhI6Pg","276655","review","3","0","0","0","2013-03-20","wErY_CXKhssJlnX9bXHLvw"
"Fwkh8rAUMG-YcSOVrEOkFg","tN9aBmmMM5CnrYXBWDHgCw","286472","review","1","0","0","1","2014-10-19","FmZ8VXg-3dFX4sfEADOhkQ"
"XygL7lAe84iL1AiAZnJn2Q","2-T_D2lIL5Ub2G_U2crtrQ","932836","review","5","0","1","0","2014-02-01","3TKNhHFFBxmx_LsN1C0adQ"
"_RJX-KJ3Ykj6FYlT6fVUrA","2-T_D2lIL5Ub2G_U2crtrQ","932886","review","4","1","1","0","2015-10-10","fni0Ls0Xa-9_EBIXlDYDwQ"
"70pn0axXnZu0TAbZzktAPA","2-T_D2lIL5Ub2G_U2crtrQ","932877","review","4","1","0","0","2015-07-23","kmdVlD3jsJjKCRA-_FP7eg"
"s360JpHqr6jQGqUwiLiXRQ","NeUf9FyCCIN4MEseNyqkXQ","7841","review","2","0","0","0","2016-07-02","WPuinGDMhHImfHI0NcyEcg"
"Ms-zRPMj8iqXRIptX9rNbg","2-T_D2lIL5Ub2G_U2crtrQ","932906","review","5","0","0","0","2016-05-01","yaFBGn95UOdQl7yFfmC4rw"
"Pf7nmblKQ7JCF6y7uMbttA","2-T_D2lIL5Ub2G_U2crtrQ","932862","review","4","1","1","0","2014-12-24","dwixuzS-BCqXKYAKcJ-vNg"
"Eed0f4EjbjrnE28aJUAzrw","vvPzcOhbQn5fLQUAIxcP6A","537780","review","4","0","0","0","2015-04-14","8hL3h1mv3OnZ-eYB6d-UOw"
"Eed0f4EjbjrnE28aJUAzrw","qMWWQpMiMcV8jz_57cBB0w","690199","review","5","0","0","0","2015-04-14","E9uazW7VgoLGZl0axIjgZg"
"Eed0f4EjbjrnE28aJUAzrw","fvhWfSPlx5J_3F-ScLpvXQ","285586","review","5","0","0","0","2015-04-21","Gj-tBJq2Ntxl7qh8eYPT9Q"
"Eed0f4EjbjrnE28aJUAzrw","p_wNn2SZ8iFtpVbetmUA_w","276058","review","4","0","0","0","2015-07-12","99n3rpoUtazP7pLc69peKw"
"r7b3ZTNE6zxECifS2o3Xrg","2-T_D2lIL5Ub2G_U2crtrQ","932892","review","4","0","0","0","2015-12-03","RTOKtsZksVM2itwsjMM-UQ"
"bhDQhsHsn-GFiCagqNpzAg","JuaQPvvWdbJ1B1Tn0jIt1w","537119","review","5","1","0","0","2011-02-13","u16NjuEhexpNQJce2DxoWg"
"bhDQhsHsn-GFiCagqNpzAg","Dq6g0ubf267tWRU4BSk44A","278882","review","1","1","0","0","2011-02-13","EpK8RnFifeJ08t0ChObMMw"
"cTGQxr5i1VkvG9PnS2Zrdw","2-T_D2lIL5Ub2G_U2crtrQ","932902","review","5","0","0","0","2016-04-14","EVPyPKi_LtePn0iESEy9AA"
"EHL9qeXB9_GnKJR7kmkzZQ","2-T_D2lIL5Ub2G_U2crtrQ","932844","review","1","1","0","2","2014-03-22","y2jf3s51R_iM7ZTDYqN6hg"
"t9m7jh3sSoknmDOWjsOT-g","2-T_D2lIL5Ub2G_U2crtrQ","932899","review","1","0","0","0","2016-04-03","vFLJlRHsWXM5s2spSKleYg"
"t9m7jh3sSoknmDOWjsOT-g","2-T_D2lIL5Ub2G_U2crtrQ","932909","review","1","0","0","0","2016-05-21","z6nUApODevDxP-kbKfSQew"
"ZvnXvdmnydY1HPZx96ptaA","2-T_D2lIL5Ub2G_U2crtrQ","932829","review","4","0","0","0","2013-09-10","IiRdYC_EAaPGhhFlHn7p2Q"
"SWFBwKx8DEgS_Wn7YGVJEw","-b9ZUSmcsGxutDSW1DIbdA","784510","review","2","0","0","0","2010-09-01","4qivBz6ngbsRdaQCafe29w"
"fv36DpdECXe-VWPKUuKB8w","2-T_D2lIL5Ub2G_U2crtrQ","932854","review","4","1","1","0","2014-10-02","LZ_P4Snb8JD57fTiu2baMg"
"z_bmZe--RKjaZ_cIkoV01g","VLXFrRkD7g2eLjloFQcKfg","275685","review","5","0","0","0","2015-07-12","V_dNV1gK17ZH5pkTrrhzVg"
"h-br7hbtlsgQLpsFvXgYOg","2-T_D2lIL5Ub2G_U2crtrQ","932821","review","4","0","0","0","2013-05-30","ZAAHumA0vQezijpPUrejOQ"
"4j_Otx9PfVPrFP8xfuH7DA","gr6AoBJ5MEkZynXP_MHs1w","284250","review","4","2","1","3","2013-12-12","wZCd7p1m261j9BEETSk38Q"
"NhHLoaPEqhvSWJ_-N9vFYQ","2-T_D2lIL5Ub2G_U2crtrQ","932893","review","4","0","0","0","2015-12-10","jfFuN4LYOW_-z-cjL1yPoQ"
"zLjB1ZPe-_cl2Q9Kxtyatw","uC8nWYLTBtIc9p6JrcvgkQ","559444","review","5","0","0","0","2012-05-23","AAZ3nM3jloo2Tm0Eit39lg"
"pLeCz6HZ4TS686ta6BdSpw","2-T_D2lIL5Ub2G_U2crtrQ","932794","review","4","0","0","0","2011-11-27","ONNpZ9E0Qn3euOlF0BH42w"
"2Sav5OmKcFRxO1RpPqUjYQ","2-T_D2lIL5Ub2G_U2crtrQ","932890","review","1","0","0","0","2015-11-29","IOSayUFWKt3HoyLM2jmuzw"
"2L10UnOEJY00pjj2JX6e1Q","2-T_D2lIL5Ub2G_U2crtrQ","932895","review","5","0","0","0","2015-12-27","_mB5Pr5STM6qGAFiBWNY4A"
"Fh5tbxnb8IGKvvAqYcNInA","2-T_D2lIL5Ub2G_U2crtrQ","932775","review","4","1","1","0","2010-09-12","tduUvvYbKqGH0obNGTZD7A"
"zfDgmnzfwsbDAWAdVMYa4w","2-T_D2lIL5Ub2G_U2crtrQ","932876","review","4","0","0","0","2015-07-18","iHzu9wew9XyHIm0Pkafnvg"
"3UMpS58AqD7coVBrQ88vLg","2-T_D2lIL5Ub2G_U2crtrQ","932900","review","1","0","0","0","2016-04-05","xsRWNOSqVDT6z4iz5a6Cig"
"uZ2qu56gMpzL-qAAgt1cSw","Ca-003BAqWW-IEsFvjlY9g","281054","review","4","1","2","0","2015-09-27","wjDVrA8NzAHqSG-ZUDxRrA"
"lA8lsjrBTKoKluUp5lsl1w","2-T_D2lIL5Ub2G_U2crtrQ","932793","review","4","1","0","0","2011-11-10","kCOfWvxQMDqSzW7O-1XdLw"
"6d_pkl9xS8njBmA0CT3Y0w","83_p9vIqOq1TUIf3_GD7bA","2229","review","5","0","0","0","2012-09-02","hs97XSV_03vpC_sGsjxE5A"
"6d_pkl9xS8njBmA0CT3Y0w","wfCLz9-aeShbPB7CaTY-qQ","2738","review","5","0","0","0","2012-09-02","PfgFAyTQnCy5AQQzAo2Epw"
"Bl3UC7GP5dX14uYQsVrKuw","2-T_D2lIL5Ub2G_U2crtrQ","932851","review","5","0","0","0","2014-08-01","wReaFXFTf0PYMgV-3_iexw"
"XdFJwlut_hXPHyuf9J1xsA","2-T_D2lIL5Ub2G_U2crtrQ","932827","review","5","0","0","0","2013-07-10","pqOVzAIYhxI4FmrLw_tARQ"
"XdFJwlut_hXPHyuf9J1xsA","ifVVRWX3oEe2tPAcBLPrRw","945925","review","3","0","0","0","2012-06-03","MD0GqITzCGDDWNuldQDlXA"
"JVKEqAUb25-n-UmaJLlGDA","gr6AoBJ5MEkZynXP_MHs1w","284274","review","4","0","0","0","2014-11-25","YjZXRqlsEUEmuPWxPUlNvw"
"JVKEqAUb25-n-UmaJLlGDA","Dq6g0ubf267tWRU4BSk44A","279076","review","4","0","0","0","2015-10-07","JFiejAIHxHWZQBQ3an2uwA"
"JVKEqAUb25-n-UmaJLlGDA","Dq6g0ubf267tWRU4BSk44A","279037","review","2","1","0","0","2014-11-09","G3ccmvnSPNbo5j4gVQAKkw"
"JVKEqAUb25-n-UmaJLlGDA","Ca-003BAqWW-IEsFvjlY9g","281017","review","4","0","0","0","2014-11-09","WpDezKelDRG81t9k1Mk5JA"
"h4f31uIB7hy8XUUyHnfzJg","9ylfrWjdX6CltGs_Qcv7Ng","749378","review","5","0","0","1","2015-08-13","3yacMdh25cRtjWz6cgrV5A"
"h4f31uIB7hy8XUUyHnfzJg","UrS9awRtye1YFlW5V1bWzw","798533","review","4","1","1","0","2015-08-20","l0ij6s2s2omg-MO2NQ4mAA"
"h4f31uIB7hy8XUUyHnfzJg","gNiqOjhVCcGTniZWDBTYtA","277261","review","4","0","0","1","2015-08-20","P8jUWO-WAU-Nb7_VplxN3w"
"h4f31uIB7hy8XUUyHnfzJg","sF8rL9XOz4v48YdTucaBGQ","274215","review","4","0","1","0","2015-08-20","NFwakfuvNSl49TFqDkXHhA"
"jPHpQgnHr_Hzsgi13uKOWA","2SwC8wqpZC4B9iFVTgYT9A","3091","review","5","0","0","0","2015-12-20","renWhO2rARYmH2BU3UvdBA"
"D0nEc_0d0NIEJ2r_if1H0Q","UrS9awRtye1YFlW5V1bWzw","798540","review","4","0","1","0","2016-03-02","TnzPM939TYJ8Dpq8lZiNWQ"
"qtG-X_ABYu7b4Ks79wuPzw","UrS9awRtye1YFlW5V1bWzw","798544","review","5","0","0","0","2016-04-02","Zmq3aQZDUVn5DvuUCvB5Jg"
"lq1nrAfDoCXriVTCcFG6xQ","cjD2yGRhT5yaSj_KP55Ptw","538249","review","4","0","0","0","2015-06-28","kzTfFjmb4h6X7jQsD7yjhg"
"lq1nrAfDoCXriVTCcFG6xQ","UrS9awRtye1YFlW5V1bWzw","798506","review","5","3","2","0","2014-04-04","rVOYIzsOBOlcvCCVSYrC-g"
"lq1nrAfDoCXriVTCcFG6xQ","-vVQyTVHitF6TOHGijVXxQ","559821","review","3","1","1","0","2014-05-14","q4v4xe0FmWNMNekD3G3ADQ"
"lq1nrAfDoCXriVTCcFG6xQ","RhOTBt7ISr2rhXisSMLTSw","560587","review","5","1","1","0","2014-06-18","0dtnK7UJuCqP7DSLRn52gw"
"lq1nrAfDoCXriVTCcFG6xQ","3WgM6mvYrPDxGJ5fADSkUw","279740","review","2","1","1","0","2014-06-18","Da90SRsLrBqwUMmaK-zGkg"
"lq1nrAfDoCXriVTCcFG6xQ","9SPwF-vRgtuHxciFxv5YLA","14418","review","5","4","3","2","2014-06-18","t6R56CXEqvtFTVQSHRzqZw"
"lq1nrAfDoCXriVTCcFG6xQ","C4GHQTB-G0R2Geov298GLw","736260","review","5","2","2","0","2014-12-30","s1bJ2NHX2bZg5FOc3EJuVQ"
"lq1nrAfDoCXriVTCcFG6xQ","NeUf9FyCCIN4MEseNyqkXQ","7726","review","2","1","0","0","2014-12-07","mN42rk_gnvrJYQPt8H8Xeg"
"lq1nrAfDoCXriVTCcFG6xQ","Xk8Nd2X5nf13DunyEg-MGQ","967183","review","4","0","0","0","2016-04-10","PFtDM8_TkhESc3HyhpN4pw"
"lq1nrAfDoCXriVTCcFG6xQ","sF8rL9XOz4v48YdTucaBGQ","274136","review","5","1","1","0","2014-05-14","nFha7kOTtCkkNmizx5uZVg"
"lq1nrAfDoCXriVTCcFG6xQ","2SwC8wqpZC4B9iFVTgYT9A","3045","review","4","1","1","0","2015-01-11","8HF2V-VeM-Du8fOcKRIW1g"
"lq1nrAfDoCXriVTCcFG6xQ","rellBaGc6G4mgcqSACGL5w","274651","review","4","0","0","0","2014-10-03","WECdaQ90_iLkF8QG2-W8ew"
"lq1nrAfDoCXriVTCcFG6xQ","v7e-GIGgEIFANhHsywlhrw","992472","review","5","0","0","0","2016-03-09","dJtrJ_9H9UgjW0jiyUP4Zw"
"NdkFQP7J0KjG9g41t1v_uQ","9ylfrWjdX6CltGs_Qcv7Ng","749175","review","5","3","2","1","2011-10-31","nLocNzD0qzjVDuBYSjoSQA"
"NdkFQP7J0KjG9g41t1v_uQ","TRLMm_deLvlPNmGNqRxcow","537285","review","5","4","2","1","2011-11-17","QtgxPTRtpuNSur5c7IcpDw"
"NdkFQP7J0KjG9g41t1v_uQ","TRLMm_deLvlPNmGNqRxcow","537288","review","5","2","2","1","2011-12-31","iOAZjZu8oKEq4m1pRctjDQ"
"NdkFQP7J0KjG9g41t1v_uQ","hW0Ne_HTHEAgGF1rAdmR-g","102160","review","4","0","0","1","2011-10-29","0-Kun-tjoEh1DV0rXZ7iOQ"
"hijtsPm6ItiKGtLAk8y-6g","2K-XaFjaHUR8Dp6QAihITg","954611","review","5","0","0","0","2016-05-28","jf_83XzImkahxX2sUAbm2g"
"tI3O8AsSGO9QfLHs0a0LBw","UrS9awRtye1YFlW5V1bWzw","798456","review","5","0","0","0","2007-04-02","i4klAKWBQdjMjUcO6QpHDw"
"Kqm733Vy9PB93zlBOvuDpw","UrS9awRtye1YFlW5V1bWzw","798545","review","2","0","0","0","2016-04-09","oUlJOuTV5gJVKJXmFOwAeQ"
"RXuJbtPKy18S8SZ43De1Og","UrS9awRtye1YFlW5V1bWzw","798520","review","5","0","0","0","2015-01-17","OsJzc2CyTHAIkVmqjL8FYg"
"uRobbPKPzbcj1nFBaft2Jw","kNirc8dWKg7C2Y8EmtyhVg","283957","review","3","0","0","0","2015-11-01","oP5giHJjirNGB51SeIs7Wg"
"uRobbPKPzbcj1nFBaft2Jw","gNiqOjhVCcGTniZWDBTYtA","277191","review","5","3","2","1","2013-08-05","W8MKDx00kdO5KBPw45ECxw"
"uRobbPKPzbcj1nFBaft2Jw","-vVQyTVHitF6TOHGijVXxQ","559922","review","4","1","1","1","2015-04-08","-IQYFdbK-pAc3zoHdPOpIA"
"uRobbPKPzbcj1nFBaft2Jw","s5ZdjjFX3CS2uS6_oVH7CQ","560393","review","4","0","0","0","2015-12-03","9aYunrDl-i9qixpSrV2xvg"
"uRobbPKPzbcj1nFBaft2Jw","RhOTBt7ISr2rhXisSMLTSw","560626","review","4","0","0","0","2015-10-10","aoL-J6NX_7bH7VHNlEOTMA"
"8YtT16y0ns6bynQzcBZllw","vtcEXiQukuSzOMxyVxlh-Q","283764","review","5","0","0","0","2014-01-17","hcRe9SsQyzZrcAR-jMe27Q"
"8YtT16y0ns6bynQzcBZllw","UrS9awRtye1YFlW5V1bWzw","798504","review","4","1","0","0","2014-01-21","ibCG97DwlHPYLZdI3_YyHw"
"8YtT16y0ns6bynQzcBZllw","vgXE1I7c9ElcfYyZfQiN1Q","12191","review","3","0","1","0","2014-01-29","vtn40XX0Fr6zNwh3txnitg"
